date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:15:10	25724/25724	---MCZ	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202017%2015:15:06%20GMT	http://stratila.com/envato/event/preview/index2.html	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/index2.html	(from )
20:15:11	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2025%20Jun%202017%2014:45:11%20GMT	http://stratila.com/robots.txt		(from )
20:15:11	45574/45574	---MCZ	200	added ('OK')	text/css	etag:W/%225897418f-b206%22	http://stratila.com/envato/event/preview/css/bootstrap.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/bootstrap.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:11	14640/14640	---MCZ	200	added ('OK')	text/css	etag:W/%2258974190-3930%22	http://stratila.com/envato/event/preview/css/style2.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/style2.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:12	46574/46574	---MCZ	200	added ('OK')	text/css	etag:W/%225897418f-b5ee%22	http://stratila.com/envato/event/preview/css/animate.min.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/animate.min.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:12	21643/21643	---MCZ	200	added ('OK')	text/css	etag:W/%2258974190-548b%22	http://stratila.com/envato/event/preview/css/font-awesome.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/font-awesome.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:12	2640/2640	---MCZ	200	added ('OK')	text/css	etag:W/%2258974190-a50%22	http://stratila.com/envato/event/preview/css/owl.carousel.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/owl.carousel.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:13	4706/4706	---MCZ	200	added ('OK')	text/css	etag:W/%225897418f-1262%22	http://stratila.com/envato/event/preview/css/flexslider.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/flexslider.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:13	3207/3207	---MCZ	200	added ('OK')	text/css	etag:W/%225897418f-c87%22	http://stratila.com/envato/event/preview/css/fancySelect.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/fancySelect.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:13	1721/1721	---MCZ	200	added ('OK')	text/css	etag:W/%2258974190-6b9%22	http://stratila.com/envato/event/preview/css/responsive.css	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/css/responsive.css	(from http://stratila.com/envato/event/preview/index2.html)
20:15:26	73146/73146	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2258974197-11dba%22	http://stratila.com/envato/event/preview/images/demo/slide-01.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/slide-01.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:29	14426/14426	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225897419a-385a%22	http://stratila.com/envato/event/preview/images/demo/speakers/speaker-01.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/speakers/speaker-01.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:31	102551/102551	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2258974197-19097%22	http://stratila.com/envato/event/preview/images/demo/slide-02.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/slide-02.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:32	14944/14944	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225897419a-3a60%22	http://stratila.com/envato/event/preview/images/demo/speakers/speaker-02.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/speakers/speaker-02.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:34	12440/12440	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225897419a-3098%22	http://stratila.com/envato/event/preview/images/demo/speakers/speaker-03.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/speakers/speaker-03.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:34	11310/11310	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225897419a-2c2e%22	http://stratila.com/envato/event/preview/images/demo/speakers/speaker-04.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/speakers/speaker-04.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:36	12667/12667	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225897419b-317b%22	http://stratila.com/envato/event/preview/images/demo/speakers/speaker-05.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/speakers/speaker-05.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:37	12186/12186	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225897419b-2f9a%22	http://stratila.com/envato/event/preview/images/demo/speakers/speaker-06.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/speakers/speaker-06.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:39	9309/9309	---MCZ	200	added ('OK')	image/png	etag:W/%225897419a-245d%22	http://stratila.com/envato/event/preview/images/demo/partners/logo-01.png	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/partners/logo-01.png	(from http://stratila.com/envato/event/preview/index2.html)
20:15:39	9945/9945	---MCZ	200	added ('OK')	image/png	etag:W/%225897419a-26d9%22	http://stratila.com/envato/event/preview/images/demo/partners/logo-02.png	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/partners/logo-02.png	(from http://stratila.com/envato/event/preview/index2.html)
20:15:41	10833/10833	---MCZ	200	added ('OK')	image/png	etag:W/%225897419a-2a51%22	http://stratila.com/envato/event/preview/images/demo/partners/logo-03.png	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/partners/logo-03.png	(from http://stratila.com/envato/event/preview/index2.html)
20:15:41	9499/9499	---MCZ	200	added ('OK')	image/png	etag:W/%225897419a-251b%22	http://stratila.com/envato/event/preview/images/demo/partners/logo-04.png	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/partners/logo-04.png	(from http://stratila.com/envato/event/preview/index2.html)
20:15:43	9453/9453	---MCZ	200	added ('OK')	image/png	etag:W/%225897419a-24ed%22	http://stratila.com/envato/event/preview/images/demo/partners/logo-05.png	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/partners/logo-05.png	(from http://stratila.com/envato/event/preview/index2.html)
20:15:44	217627/217627	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2258974197-3521b%22	http://stratila.com/envato/event/preview/images/demo/bg-slide-02.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/bg-slide-02.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:44	9195/9195	---MCZ	200	added ('OK')	image/png	etag:W/%225897419a-23eb%22	http://stratila.com/envato/event/preview/images/demo/partners/logo-06.png	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/partners/logo-06.png	(from http://stratila.com/envato/event/preview/index2.html)
20:15:44	4778/4778	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-12aa%22	http://stratila.com/envato/event/preview/js/bootstrap.min.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/bootstrap.min.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:45	2427/2427	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-97b%22	http://stratila.com/envato/event/preview/js/jquery.scrollTo.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/jquery.scrollTo.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:45	5224/5224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-1468%22	http://stratila.com/envato/event/preview/js/jquery.nav.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/jquery.nav.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:47	14916/14916	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-3a44%22	http://stratila.com/envato/event/preview/js/owl.carousel.min.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/owl.carousel.min.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:48	892/892	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-37c%22	http://stratila.com/envato/event/preview/js/jquery.accordion.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/jquery.accordion.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:48	83615/83615	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-1469f%22	http://stratila.com/envato/event/preview/js/jquery-2.1.0.min.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/jquery-2.1.0.min.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:48	51909/51909	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-cac5%22	http://stratila.com/envato/event/preview/js/jquery.flexslider.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/jquery.flexslider.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:48	298076/298076	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2258974197-48c5c%22	http://stratila.com/envato/event/preview/images/demo/bg-slide-01.jpg	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/images/demo/bg-slide-01.jpg	(from http://stratila.com/envato/event/preview/index2.html)
20:15:49	5291/5291	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-14ab%22	http://stratila.com/envato/event/preview/js/jquery.placeholder.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/jquery.placeholder.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:50	2781/2781	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-add%22	http://stratila.com/envato/event/preview/js/jquery.fitvids.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/jquery.fitvids.js	(from http://stratila.com/envato/event/preview/index2.html)
20:15:50	73652/73652	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258974191-11fb4%22	http://stratila.com/envato/event/preview/js/gmap3.js	D:/WEB%203/R%20Pro/stratila.com/envato/event/preview/js/gmap3.js	(from http://stratila.com/envato/event/preview/index2.html)
